t,ax,ay,az,vl,vm,vn
t,ax,ay,az,vl,vm,vn
11991.0,0.0258,-0.0004,1.0073,3.8452,-4.0894,-2.1362
12001.0,0.0242,-0.0044,1.0107,3.9062,-4.2725,-1.9531
12010.0,0.0231,-0.0017,1.0121,4.0283,-4.2114,-2.0142
12020.0,0.0231,-0.0023,1.009,3.9673,-4.1504,-2.0752
12030.0,0.0253,-0.0013,1.0101,3.8452,-4.0894,-2.0142
12040.0,0.0238,-0.0006,1.0098,4.0283,-4.1504,-2.0752
12049.0,0.0249,-0.0043,1.0096,3.9673,-4.2725,-2.0752
12059.0,0.0243,-0.004,1.0103,3.9673,-4.1504,-1.9531
12069.0,0.0255,-0.0024,1.009,3.9673,-4.0894,-2.0142
12079.0,0.0247,-0.0026,1.0093,4.0283,-4.2725,-2.1973
12088.0,0.0249,-0.0026,1.0088,3.9673,-4.2114,-2.1973
12098.0,0.0245,-0.0011,1.0077,4.0283,-4.2114,-2.1973
12108.0,0.0244,-0.0011,1.012,4.0283,-4.2725,-2.1362
12117.0,0.0255,-0.0043,1.0096,3.8452,-4.0894,-1.9531
12127.0,0.0247,-0.0012,1.009,3.9673,-4.2114,-2.1362
12137.0,0.0248,-0.0016,1.0087,4.0894,-4.2114,-2.1362
12147.0,0.0244,-0.0006,1.0106,3.9673,-4.1504,-2.1362
12156.0,0.0256,-0.0029,1.0082,4.0283,-4.0894,-2.0142
12166.0,0.0222,-0.0011,1.0128,3.9673,-4.1504,-2.0142
12176.0,0.0255,-0.0033,1.0105,4.0283,-4.2725,-2.1362
12186.0,0.0258,-0.0029,1.0093,3.9673,-4.0894,-2.0142
12195.0,0.0255,-0.004,1.0092,3.9673,-4.1504,-2.0752
12205.0,0.0249,-0.001,1.0083,4.0283,-4.1504,-2.1362
12215.0,0.0259,-0.0037,1.0098,4.0283,-4.2725,-2.1973
12224.0,0.0243,-0.002,1.0077,3.9673,-4.2114,-2.1362
12234.0,0.0253,-0.0031,1.011,4.0283,-4.1504,-2.1362
12244.0,0.024,-0.0023,1.0073,3.9673,-4.2114,-2.1973
12254.0,0.0234,-0.0015,1.0109,4.0283,-4.2725,-2.1973
12263.0,0.0248,-0.0046,1.01,4.0283,-4.1504,-2.0752
12273.0,0.0232,-0.0012,1.0123,3.8452,-4.0894,-1.9531
12283.0,0.0249,-0.0024,1.0092,3.9062,-4.1504,-1.9531
12292.0,0.0251,-0.0006,1.0085,3.9062,-4.0894,-2.0752
12302.0,0.0239,-0.0002,1.0117,3.9062,-4.1504,-2.0142
12312.0,0.0249,-0.0035,1.0096,3.7842,-4.1504,-1.8921
12321.0,0.0244,-0.0016,1.0072,3.9673,-4.1504,-2.0142
12331.0,0.0254,-0.0012,1.0104,4.0283,-4.2114,-2.1362
12341.0,0.0242,-0.0004,1.0118,3.9673,-4.1504,-2.0142
12351.0,0.0242,-0.0001,1.0127,3.8452,-4.0894,-1.8921
12361.0,0.0256,-0.0031,1.0085,3.9062,-4.2725,-2.0142
12370.0,0.0243,-0.0026,1.0067,3.8452,-4.1504,-2.0752
12380.0,0.027,-0.0022,1.011,3.7842,-4.1504,-1.9531
12389.0,0.0248,-0.0023,1.0099,3.9062,-4.2114,-1.8311
12399.0,0.0254,-0.0009,1.0098,3.9062,-4.1504,-1.8311
12409.0,0.0226,-0.0044,1.0107,3.9673,-4.2114,-1.9531
